scenario_id,train_delay,maintenance_overrun,traffic_factor,asset_risk
SC0664,13.01,9.93,0.924,0.861
SC0665,1.37,4.11,1.067,0.191
SC0666,11.28,8.98,1.016,0.262
SC0667,2.51,2.24,0.946,0.051
SC0668,8.16,0.0,0.874,0.201
SC0669,21.62,5.56,1.032,0.527
SC0670,10.67,0.0,0.854,0.168
SC0671,5.62,4.04,1.051,0.516
SC0672,9.13,10.15,1.315,0.126
SC0673,4.3,0.0,1.162,0.248
SC0674,27.12,0.0,1.086,0.264
SC0675,3.56,0.87,0.99,0.154
SC0676,6.12,4.75,0.767,0.275
SC0677,10.01,3.54,0.841,0.403
SC0678,8.66,10.6,1.154,0.416
SC0679,9.38,8.82,0.905,0.561
SC0680,4.38,6.98,0.916,0.237
SC0681,5.44,5.58,0.98,0.434
SC0682,12.61,6.57,0.873,0.173
SC0683,12.18,1.55,0.853,0.598
SC0684,8.81,8.43,0.994,0.124
SC0685,16.15,0.55,0.893,0.377
SC0686,12.95,8.34,0.911,0.206
SC0687,11.93,9.74,0.906,0.155
SC0688,1.34,5.84,1.063,0.108
SC0689,8.73,4.3,0.972,0.433
SC0690,7.62,6.6,0.979,0.111
SC0691,17.54,0.0,1.072,0.467
SC0692,5.85,6.21,0.983,0.399
SC0693,7.16,4.55,0.967,0.257
SC0694,2.48,4.8,1.056,0.585
SC0695,2.97,7.83,1.08,0.407
SC0696,17.58,4.7,0.982,0.059
SC0697,9.35,0.44,1.01,0.311
SC0698,21.65,4.43,0.906,0.382
SC0699,5.77,5.27,0.897,0.203
SC0700,1.71,5.46,1.092,0.266
SC0701,5.13,5.65,1.053,0.346
SC0702,4.44,9.16,1.055,0.249
SC0703,10.94,0.66,1.034,0.176
SC0704,10.63,5.7,1.006,0.113
SC0705,9.68,10.16,1.084,0.567
SC0706,26.08,0.0,1.112,0.224
SC0707,15.53,5.72,1.109,0.361
SC0708,3.16,2.66,0.988,0.206
SC0709,13.24,3.52,1.166,0.444
SC0710,6.81,1.38,1.027,0.24
SC0711,5.64,4.32,1.076,0.485
SC0712,16.84,12.37,1.034,0.301
SC0713,2.98,0.0,1.03,0.056
SC0714,12.64,0.32,0.912,0.157
SC0715,11.3,0.0,1.084,0.273
SC0716,2.93,11.91,1.341,0.263
SC0717,1.29,3.15,0.955,0.455
SC0718,6.24,4.9,1.009,0.436
SC0719,14.29,3.39,0.946,0.304
SC0720,8.71,1.22,0.941,0.196
SC0721,17.2,4.06,1.185,0.084
SC0722,8.28,14.83,0.919,0.149
SC0723,17.96,10.57,0.943,0.169
SC0724,4.05,1.59,0.81,0.194
SC0725,9.66,7.59,0.909,0.224
SC0726,4.83,1.67,0.795,0.122
SC0727,6.09,0.0,1.076,0.293
SC0728,7.15,9.08,1.336,0.072
SC0729,8.69,9.64,0.956,0.132
SC0730,3.58,9.18,0.8,0.236
SC0731,9.33,3.12,1.108,0.126
SC0732,6.88,4.33,0.913,0.081
SC0733,1.82,8.0,1.156,0.568
SC0734,1.07,6.57,0.966,0.316
SC0735,14.33,3.43,0.924,0.173
SC0736,5.86,0.0,0.979,0.405
SC0737,1.62,5.46,1.091,0.415
SC0738,19.93,9.32,0.973,0.263
SC0739,10.02,0.21,0.94,0.427
SC0740,8.52,7.56,0.976,0.14
SC0741,3.3,6.33,0.847,0.264
SC0742,1.79,8.0,1.048,0.432
SC0743,7.63,8.49,0.786,0.195
SC0744,6.55,2.22,0.947,0.557
SC0745,2.52,0.0,1.091,0.189
SC0746,2.44,2.87,1.036,0.208
SC0747,2.32,8.56,1.071,0.174
SC0748,2.24,2.83,0.992,0.212
SC0749,3.93,2.22,1.14,0.109
SC0750,8.52,0.0,1.111,0.303
SC0751,9.59,12.01,1.054,0.369
SC0752,6.45,8.3,1.111,0.194
SC0753,7.37,8.08,1.09,0.584
SC0754,9.92,8.87,0.947,0.344
SC0755,0.76,7.31,0.839,0.042
SC0756,7.81,4.02,1.05,0.249
SC0757,16.0,4.34,1.066,0.561
SC0758,5.74,3.29,1.131,0.148
SC0759,13.93,15.54,0.888,0.061
SC0760,5.82,7.22,0.891,0.541
SC0761,10.39,3.14,1.055,0.28
SC0762,8.4,6.86,0.991,0.332
SC0763,2.28,0.96,0.774,0.067
SC0764,2.84,11.02,1.045,0.338
SC0765,17.96,2.36,0.778,0.193
SC0766,12.01,7.0,0.887,0.242
SC0767,6.14,9.26,1.162,0.576
SC0768,5.52,6.54,1.219,0.19
SC0769,3.32,5.38,0.854,0.333
SC0770,8.92,5.04,0.96,0.312
SC0771,3.58,4.77,1.005,0.46
SC0772,4.95,2.69,1.214,0.118
SC0773,3.92,3.2,0.941,0.225
SC0774,11.5,10.92,0.943,0.061
SC0775,5.94,4.57,1.186,0.215
SC0776,7.42,1.86,0.955,0.259
SC0777,2.32,2.93,1.087,0.303
SC0778,3.9,9.4,0.823,0.207
SC0779,7.54,7.7,0.979,0.257
SC0780,1.37,7.24,0.801,0.436
SC0781,5.59,3.97,0.873,0.176
SC0782,6.6,7.29,1.101,0.086
SC0783,2.04,2.43,0.994,0.156
SC0784,13.52,3.96,0.962,0.303
SC0785,8.62,8.88,0.91,0.162
SC0786,5.91,8.5,0.974,0.273
SC0787,3.66,1.07,1.036,0.215
SC0788,1.31,1.58,1.118,0.451
SC0789,12.82,5.43,0.7,0.266
SC0790,4.58,11.9,0.9,0.364
SC0791,1.71,0.0,1.019,0.537
SC0792,3.56,6.11,0.988,0.118
SC0793,9.29,0.0,1.048,0.241
SC0794,7.98,2.46,1.032,0.29
SC0795,2.53,3.54,0.963,0.288
SC0796,14.39,3.32,0.937,0.275
SC0797,1.69,2.86,0.971,0.081
SC0798,16.43,5.03,1.138,0.176
SC0799,7.73,2.86,0.912,0.368
SC0800,4.87,0.0,0.992,0.112
SC0801,5.45,8.12,1.022,0.395
SC0802,7.08,8.01,1.187,0.356
SC0803,9.81,8.37,0.964,0.2
SC0804,1.06,0.0,1.115,0.27
SC0805,3.46,6.2,1.148,0.235
SC0806,6.91,7.7,0.992,0.3
SC0807,14.77,0.88,0.975,0.109
SC0808,14.39,5.04,0.961,0.297
SC0809,18.71,4.53,0.969,0.373
SC0810,13.93,12.37,1.103,0.293
SC0811,3.23,12.7,1.028,0.228
SC0812,6.58,0.0,1.028,0.276
SC0813,13.98,14.98,0.865,0.246
SC0814,13.07,1.34,0.884,0.493
SC0815,5.67,8.92,1.257,0.27
SC0816,9.62,8.88,0.979,0.273
SC0817,4.56,1.02,0.907,0.4
SC0818,1.55,6.97,1.172,0.151
SC0819,6.07,4.57,1.034,0.195
SC0820,5.79,7.22,1.069,0.218
SC0821,4.38,5.92,0.983,0.528
SC0822,9.84,9.79,0.962,0.296
SC0823,5.52,5.3,0.98,0.221
SC0824,8.88,4.33,0.834,0.186
SC0825,11.35,9.38,0.989,0.189
SC0826,28.15,7.32,1.036,0.127
SC0827,6.15,7.93,1.222,0.291
SC0828,14.91,2.34,1.01,0.263
SC0829,7.89,0.82,0.72,0.081
SC0830,8.23,2.73,0.989,0.527
SC0831,6.22,2.52,1.329,0.226
SC0832,7.39,8.14,1.104,0.412
SC0833,5.56,8.9,0.903,0.193
SC0834,13.19,4.38,1.071,0.36
SC0835,3.58,10.72,0.911,0.056
SC0836,1.53,10.47,0.838,0.369
SC0837,4.26,5.97,0.958,0.386
SC0838,3.88,1.71,1.011,0.165
SC0839,4.26,11.3,0.775,0.132
SC0840,5.96,4.76,0.862,0.236
SC0841,4.27,5.5,1.001,0.303
SC0842,5.9,3.64,0.951,0.191
SC0843,4.28,1.44,1.047,0.053
SC0844,9.02,0.0,0.854,0.181
SC0845,27.98,7.53,1.086,0.223
SC0846,7.77,1.87,0.858,0.259
SC0847,4.43,17.24,1.197,0.32
SC0848,0.43,0.66,0.794,0.4
SC0849,22.11,0.0,0.869,0.607
SC0850,8.1,7.04,1.05,0.276
SC0851,5.86,11.12,1.2,0.403
SC0852,0.47,5.26,1.038,0.129
SC0853,6.1,7.29,1.068,0.105
SC0854,7.34,0.0,1.002,0.47
SC0855,4.29,2.29,0.877,0.148
SC0856,1.87,0.71,0.941,0.387
SC0857,1.74,0.0,0.855,0.027
SC0858,22.34,5.47,0.847,0.492
SC0859,7.18,0.0,1.048,0.075
SC0860,4.29,0.0,0.865,0.451
SC0861,6.86,2.85,1.038,0.228
SC0862,6.51,1.67,0.844,0.378
SC0863,1.65,6.59,1.036,0.269
SC0864,12.59,6.22,0.941,0.294
SC0865,5.73,8.58,1.169,0.194
SC0866,7.26,8.01,1.039,0.36
SC0867,17.58,9.56,1.148,0.577
SC0868,1.93,4.99,0.909,0.397
SC0869,3.41,6.21,1.007,0.174
SC0870,8.42,7.05,0.882,0.376
SC0871,12.42,5.57,0.95,0.131
SC0872,3.95,3.41,0.969,0.135
SC0873,4.15,3.67,0.913,0.232
SC0874,10.47,1.73,0.854,0.221
SC0875,26.57,6.69,0.83,0.254
SC0876,7.04,4.62,0.719,0.3
SC0877,3.4,2.35,0.873,0.407
SC0878,2.56,2.35,1.075,0.276
SC0879,5.95,0.16,0.808,0.44
SC0880,12.03,8.92,0.836,0.596
SC0881,34.25,5.31,1.215,0.445
SC0882,5.19,1.55,0.924,0.333
SC0883,7.05,8.23,1.039,0.256
SC0884,19.93,2.76,1.077,0.527
SC0885,8.32,0.0,1.08,0.272
SC0886,7.81,9.08,0.817,0.349
SC0887,17.43,2.85,0.972,0.449
SC0888,7.17,3.36,0.806,0.202
SC0889,2.77,5.16,1.294,0.071
SC0890,15.1,9.57,0.809,0.287
SC0891,1.36,5.08,0.874,0.353
SC0892,13.41,0.2,0.875,0.262
SC0893,6.63,7.18,0.82,0.643
SC0894,5.23,3.06,1.162,0.285
SC0895,5.12,12.55,1.291,0.43
SC0896,5.93,5.0,0.943,0.331
SC0897,4.63,0.0,0.842,0.082
SC0898,9.22,6.43,0.732,0.078
SC0899,4.77,12.78,0.971,0.524
SC0900,6.66,11.3,0.962,0.3
SC0901,0.79,12.32,0.922,0.243
SC0902,6.63,0.92,1.027,0.265
SC0903,4.55,8.65,1.047,0.199
SC0904,12.74,2.11,1.039,0.47
SC0905,5.41,5.9,0.962,0.433
SC0906,11.48,0.0,0.868,0.197
SC0907,10.58,2.42,1.08,0.34
SC0908,10.79,2.3,1.002,0.495
SC0909,5.56,8.59,1.107,0.314
SC0910,6.97,8.2,1.095,0.098
SC0911,9.05,6.11,0.829,0.307
SC0912,7.13,0.0,0.828,0.186
SC0913,5.42,3.75,0.909,0.508
SC0914,3.01,2.02,0.873,0.511
SC0915,6.72,8.48,1.091,0.442
SC0916,1.54,9.71,1.042,0.294
SC0917,0.71,9.23,1.132,0.233
SC0918,2.4,1.98,1.048,0.593
SC0919,10.7,0.0,1.025,0.06
SC0920,7.93,0.0,1.144,0.185
SC0921,10.77,10.69,1.056,0.286
SC0922,3.69,3.39,1.008,0.373
SC0923,13.64,2.0,1.178,0.256
SC0924,1.74,11.57,1.014,0.316
SC0925,2.49,10.06,0.963,0.094
SC0926,13.48,5.1,0.899,0.261
SC0927,7.51,3.83,1.084,0.613
SC0928,10.82,4.47,1.148,0.563
SC0929,7.96,5.91,0.994,0.354
SC0930,4.17,11.4,1.157,0.124
SC0931,2.21,6.69,0.764,0.197
SC0932,0.98,7.9,0.993,0.163
SC0933,21.05,9.68,0.995,0.307
SC0934,1.3,0.32,0.913,0.185
SC0935,17.04,8.02,1.286,0.1
SC0936,7.2,3.82,0.992,0.288
SC0937,8.14,0.0,0.951,0.551
SC0938,7.75,0.0,1.003,0.11
SC0939,9.88,0.93,0.76,0.425
SC0940,3.39,7.12,0.909,0.307
SC0941,0.58,5.46,1.118,0.564
SC0942,4.09,5.74,0.925,0.103
SC0943,9.29,12.8,0.901,0.255
SC0944,2.51,0.0,1.157,0.508
SC0945,13.87,4.89,1.161,0.378
SC0946,6.02,6.22,1.062,0.321
SC0947,2.29,2.05,0.945,0.2
SC0948,7.46,5.11,0.971,0.588
SC0949,9.18,0.0,0.904,0.353
SC0950,9.66,10.64,0.881,0.429
SC0951,13.49,2.27,0.875,0.5
SC0952,1.6,13.13,0.926,0.369
SC0953,13.5,4.87,0.876,0.501
SC0954,14.36,9.11,0.812,0.274
SC0955,2.21,4.79,1.026,0.509
SC0956,2.67,4.88,1.028,0.065
SC0957,11.21,2.66,1.204,0.542
SC0958,4.79,5.48,0.92,0.108
SC0959,15.83,6.27,1.036,0.269
SC0960,18.86,1.86,1.038,0.671
SC0961,2.29,4.5,0.97,0.158
SC0962,3.32,2.56,1.089,0.55
SC0963,7.17,14.2,1.093,0.214
SC0964,0.56,4.64,1.039,0.157
SC0965,1.02,11.18,0.969,0.287
SC0966,2.99,4.22,0.957,0.32
SC0967,23.26,6.04,0.836,0.297
SC0968,8.02,0.0,0.903,0.148
SC0969,3.83,3.21,0.925,0.413
SC0970,2.65,5.84,0.865,0.237
SC0971,2.18,11.34,1.053,0.216
SC0972,4.08,5.89,1.144,0.454
SC0973,3.88,10.53,0.891,0.558
SC0974,5.52,7.56,1.034,0.418
SC0975,9.5,11.51,0.876,0.186
SC0976,6.22,4.76,0.963,0.469
SC0977,11.68,14.56,0.917,0.132
SC0978,5.2,3.06,1.072,0.082
SC0979,19.83,1.93,0.919,0.089
SC0980,11.48,0.16,1.121,0.14
SC0981,7.85,14.32,0.971,0.327
SC0982,9.52,8.28,0.922,0.47
SC0983,4.17,3.66,0.85,0.177
SC0984,5.45,10.0,1.03,0.472
SC0985,5.28,7.75,1.107,0.054
SC0986,3.44,12.86,1.033,0.408
SC0987,1.82,0.0,1.269,0.174
SC0988,9.9,3.94,1.172,0.224
SC0989,13.0,3.15,0.963,0.272
SC0990,8.9,0.0,0.962,0.302
SC0991,6.21,9.24,1.056,0.316
SC0992,25.88,3.92,0.899,0.137
SC0993,3.79,7.96,1.14,0.287
SC0994,8.05,14.44,1.043,0.152
SC0995,14.31,3.59,1.031,0.088
SC0996,2.42,3.32,1.082,0.296
SC0997,10.45,5.47,1.207,0.269
SC0998,20.7,8.95,1.021,0.069
SC0999,6.61,2.73,0.986,0.138
SC1000,7.52,2.48,1.181,0.065
